,address,zip,units,cost,year,city,state,DIST01,DIST02,DIST03,DIST04,DIST05,DIST06,DIST07,DIST08,DIST09,DIST10,DIST11,DIST12,DIST13,DIST14,DIST15,DIST16,DIST17,DIST18,DIST19,big_address,Address,LAT,LON
0,201 21ST ST,787050000,1534,703558.0,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"201 21ST ST, Austin, TX, 787050000","201 21ST ST, Austin, TX, 787050000",30.2834066588,-97.7373264947
1,201 21ST #W ST,787050000,771,309128.3,1983,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"201 21ST #W ST, Austin, TX, 787050000","201 21ST #W ST, Austin, TX, 787050000",30.2835615394,-97.7397845739
2,1300 CROSSING PL,787410000,692,67832.0312139,1997,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D21,,,,A01,,,,B05,ALL,ACC,CA3,"1300 CROSSING PL, Austin, TX, 787410000","1300 CROSSING PL, Austin, TX, 787410000",30.237822,-97.71365
3,1301 CROSSING PL,787410000,656,123460.365854,2001,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D21,,,,A01,,,,B05,ALL,ACC,CA3,"1301 CROSSING PL, Austin, TX, 787410000","1301 CROSSING PL, Austin, TX, 787410000",30.23782,-97.71364
4,2605 WHITIS AVE,787050000,516,,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2605 WHITIS AVE, Austin, TX, 787050000","2605 WHITIS AVE, Austin, TX, 787050000",30.289942,-97.74023
5,201 21ST #M ST,787050000,507,,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"201 21ST #M ST, Austin, TX, 787050000","201 21ST #M ST, Austin, TX, 787050000",30.2834066588,-97.7373264947
6,600 26TH ST,787050000,492,350075.203252,2007,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"600 26TH ST, Austin, TX, 787050000","600 26TH ST, Austin, TX, 787050000",30.290562,-97.74295
7,3816 LAMAR BLVD,787040000,442,115731.611765,1990,Austin,TX,G21,N14,L49,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"3816 LAMAR BLVD, Austin, TX, 787040000","3816 LAMAR BLVD, Austin, TX, 787040000",30.238104,-97.790085
8,309 21ST ST,787050000,434,,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"309 21ST ST, Austin, TX, 787050000","309 21ST ST, Austin, TX, 787050000",30.2831795612,-97.7342848113
9,5604 SOUTHWEST PKWY,787350000,420,,,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T45,,,Q00,A01,Q05,R10,,B05,ALL,ACC,CA8,"5604 SOUTHWEST PKWY, Austin, TX, 787350000","5604 SOUTHWEST PKWY, Austin, TX, 787350000",30.244686,-97.842804
10,3220 DUVAL RD,787590000,403,72687.0967742,1985,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA7,"3220 DUVAL RD, Austin, TX, 787590000","3220 DUVAL RD, Austin, TX, 787590000",30.410246,-97.71683
11,8600 FM 620 RD,787260000,396,178228.340909,2001,Austin,TX,G10,N14,L47,P02,C10,J02,S10,,,,,A01,,,,B10,ALL,ACC,CA6,"8600 FM 620 RD, Austin, TX, 787260000","8600 FM 620 RD, Austin, TX, 787260000",30.4249641534,-97.8440006328
12,401 LITTLE TEXAS LN,787450000,394,203371.720812,2002,Austin,TX,G35,N21,L51,P04,C10,J03,S01,T46,,,,A01,,,,B05,ALL,ACC,CA2,"401 LITTLE TEXAS LN, Austin, TX, 787450000","401 LITTLE TEXAS LN, Austin, TX, 787450000",30.199968,-97.77034
13,508 HOWARD LN,787530000,379,26443.3,1995,Austin,TX,G17,N14,L46,P01,CEJ,J01,S13,,,E02,,A01,,,,B10,ALL,AC2,,"508 HOWARD LN, Austin, TX, 787530000","508 HOWARD LN, Austin, TX, 787530000",30.421202,-97.664474
14,4500 STEINER RANCH BLVD,787320000,378,280222.222222,2002,Austin,TX,G25,N14,L47,P02,CEJ,J02,S10,,,E06,,A01,,,,B10,ALL,ACC,,"4500 STEINER RANCH BLVD, Austin, TX, 787320000","4500 STEINER RANCH BLVD, Austin, TX, 787320000",30.379786,-97.877594
15,12609 DESSAU RD,787540000,369,154946.0,1999,Austin,TX,G10,N14,L50,P02,CEJ,J01,S13,,,E02,,,,,,B10,ALL,AC2,,"12609 DESSAU RD, Austin, TX, 787540000","12609 DESSAU RD, Austin, TX, 787540000",30.395153,-97.64389
16,13021 DESSAU RD,787540000,361,92090.0,2018,Austin,TX,G10,N14,L50,P02,CEJ,J01,S13,,,E02,,,,,,B10,ALL,AC2,,"13021 DESSAU RD, Austin, TX, 787540000","13021 DESSAU RD, Austin, TX, 787540000",30.400114,-97.640594
17,4600 MUELLER BLVD,787230000,361,259694.282548,2009,Austin,TX,G25,N14,L46,P01,C10,J05,S01,T43,,,,A01,,,,B05,ALL,ACC,CA9,"4600 MUELLER BLVD, Austin, TX, 787230000","4600 MUELLER BLVD, Austin, TX, 787230000",30.298182,-97.70712
