STREET1,STREET2,Distance,Lat,Lon
MASON AVE,NICKOLS AVE,0.0462540355,30.2768132,-97.684654
12TH ST,LUNA ST,0.0218122729,30.2783668,-97.6907962
MANSELL AVE,WEBBERVILLE RD,0.0388081791,,
LEDESMA RD,MASON AVE,0.0218204472,30.2719267,-97.6856149
BERGER ST,MASON AVE,0.0641527066,,
RIBBECKE AVE,WEBBERVILLE RD,0.0330833223,30.2793598,-97.6828632
LESLIE AVE,WALDORF AVE,0.0481520648,,
DELORES AVE,SPRINGDALE RD,0.0713983644,,
HEFLIN LN,OAK CLIFF DR,0.0917673689,,
LESLIE AVE,REDONDO DR,0.0858884611,,
DELORES AVE,MANSELL AVE,0.0319588277,30.2763522,-97.686093
LOUIS AVE,NICKOLS AVE,0.0338594683,30.2751803,-97.6856939
LEDESMA RD,STAR LIGHT TER,0.0811978657,,
LOUIS AVE,SPRINGDALE RD,0.086904774,,
ASTOR PL,ELMIRA RD,0.0406203409,,
LEDESMA RD,SPUR ST,0.0886151667,,
SAMUEL HUSTON AVE,WEBBERVILLE RD,0.0140972144,30.2817851,-97.6776372
SAMUEL HUSTON AVE,TANNEHILL LN,0.0198311403,30.2793859,-97.673948
BERGER ST,LEDESMA RD,0.015721471,30.2722702,-97.6864053
CELESTE CIR,HEFLIN LN,0.0431663155,30.2849236,-97.6806373
MARCUS PL,SPRINGDALE RD,0.0406209013,,
EASTFIELD AVE,WEBBERVILLE RD,0.0194327543,30.2778379,-97.6854852
GLOMAR AVE,MARCUS PL,0.0183424411,30.2816749,-97.6870661
BERENE AVE,PENNY ST,0.0675991814,,
ASTOR PL,GLOMAR AVE,0.0159583942,30.281508,-97.6881645
BERENE AVE,LESLIE AVE,0.0166954845,30.2817679,-97.683209
NICKOLS AVE,WEBBERVILLE RD,0.049095231,,
DELORES AVE,STAR LIGHT TER,0.0386018116,,
LESLIE AVE,WALLY AVE,0.0442405931,,
FAIRPLAY CT,LESLIE AVE,0.024283984,30.2827936,-97.6855956
ELMIRA RD,KITTY AVE,0.0168346792,30.2839645,-97.6857277
RAINBOW RIDGE CIR,STAR LIGHT TER,0.0298858188,,
BAKER ST,ROB SCOTT ST,0.0292405788,,
DOWNS DR,ROB SCOTT ST,0.0996013517,,
LOUIS AVE,MANSELL AVE,0.0333948635,30.2755946,-97.686566
DELANO ST,FORT BRANCH BLVD,0.0110481942,30.278137,-97.6799049
FAIRPLAY CT,SPRINGDALE RD,0.0578951629,,
MENDOZA DR,REYES ST,0.0864802452,,
BAKER ST,WEBBERVILLE RD,0.0920073946,,
12TH ST,SPRINGDALE RD,0.0219006058,30.2789614,-97.6870409
FORT BRANCH BLVD,LOTT AVE,0.0403910211,,
CESSAL AVE,GARLAND AVE,0.0382814026,30.270578,-97.6849022
SPUR ST,TANNEY ST,0.0217004405,30.2718491,-97.6880077
DELANO ST,JACKIE ROBINSON ST,0.0108197656,30.2763649,-97.6790628
GARLAND AVE,LEDESMA RD,0.023164951,30.271556,-97.6847325
LEDESMA RD,RICHARDINE AVE,0.0228190878,30.2719267,-97.6856149
DELORES AVE,WEBBERVILLE RD,0.020125123,30.276922,-97.6871915
BANDERA RD,SPRINGDALE RD,0.0161273318,30.2841395,-97.6837314
EASTFIELD AVE,NICKOLS AVE,0.0340339431,30.2754097,-97.6855514
EASTFIELD AVE,LOUIS AVE,0.0373127869,,
EBERT AVE,LEDESMA RD,0.0593530267,,
AXEL LN,JACKIE ROBINSON ST,0.0994354457,30.2759383,-97.6753092
LESLIE AVE,SPRINGDALE RD,0.0230261132,30.2825288,-97.6848111
BUNCHE RD,DOWNS DR,0.0256511818,,
KITTY AVE,LESLIE AVE,0.0423210129,,
REDONDO DR,WALLY AVE,0.0767279713,,
DELORES AVE,LOUIS AVE,0.0433403689,,
BERENE AVE,MEANDER DR,0.0466539118,,
FAIRPLAY CT,KITTY AVE,0.0405183091,,
SANTA ANNA ST,SPRINGDALE RD,0.0607382887,30.2759611,-97.6890065
ASTOR PL,WALDORF AVE,0.0284843497,,
SPRINGDALE RD,WEBBERVILLE RD,0.0047126015,30.2760506,-97.6888464
LOUIS AVE,WEBBERVILLE RD,0.0343704093,30.276637,-97.6877498
BERENE AVE,RIBBECKE AVE,0.0929814319,,
COMETA ST,GLOMAR AVE,0.0957547706,,
BANDERA RD,KITTY AVE,0.0563929456,,
ADINA ST,OAK CLIFF DR,0.080499465,,
MEANDER DR,WEBBERVILLE RD,0.0230231674,30.2801392,-97.6799593
EASTFIELD AVE,MASON AVE,0.0990338285,,
MENDOZA DR,RAINBOW RIDGE CIR,0.0753714173,,
OVERHILL DR,SPRINGDALE RD,0.0179963284,30.2841395,-97.6837314
LEDESMA RD,LOTT AVE,0.0348107964,30.2703642,-97.6819746
BERGER ST,EBERT AVE,0.0210173946,30.2715656,-97.6868279
12TH ST,WEBBERVILLE RD,0.0224250134,30.2781351,-97.6849652
BERGER ST,TANNEY ST,0.0781264584,,
ELEANOR ST,HUDSON ST,0.0173534012,30.2737901,-97.6793075
FILEY CV,MEANDER DR,0.0168520328,30.2818863,-97.6818937
MASON AVE,STAR LIGHT TER,0.0285792214,30.2740856,-97.685265
GLOMAR AVE,WALLY AVE,0.0839585551,30.2817311,-97.6853163
COMETA ST,LUNA ST,0.068121147,,
